Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location
1181563-03-181,1084711,"Rocha's Pizza, Llc",Red's Pizza,3839 Mission St,San Francisco,CA,94110,3/8/2018,,3/8/2018,,3839 MISSION ST,San Francisco,94110,CA,,,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,
1185154-04-181,1063913,Castro Pizza Llc,Sweet Castro,451 Castro St,San Francisco,CA,94110,########,,########,,449 CASTRO ST,San Francisco,94114,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1186084-04-181,1086800,A Pizza Llc,A Pizza,2325 Pine St,San Francisco,CA,94115,########,,########,,2325 PINE ST,San Francisco,94115,CA,4400-4599,Retail Trade,FALSE,FALSE,,,,,,
1185717-04-181,1010372,City Pizza And Burger Inc,Pizza Flirt,464 Broadway St,San Francisco,CA,94133,3/1/2015,,########,2/4/2019,464 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1185718-04-181,1010372,City Pizza And Burger Inc,Cybella's,464 Broadway St,San Francisco,CA,94133,3/1/2015,,########,2/4/2019,464 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1188143-05-181,1087637,11th Street Pizza Inc,Seniores Pizza,553 Seagate Way,Belomt,CA,94002,########,,########,########,553 SEAGATE WAY,Belmont,94002,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1190933-06-181,1087637,11th Street Pizza Inc,Seniores Pizza,320 11th St,San Francisco,CA,94103,########,,########,,553 SEAGATE WAY,Belmont,94002,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",6,Mission,,
1194808-07-181,1090080,Ingleside Pizza Inc,Ingleside Pizza,4097 19th Ave,San Francisco,CA,94132,########,,########,,4097 19TH AVE,San Francisco,94132,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,
1195683-07-181,483799,Firetrail Pizza Llc,Firetrail Pizza,1 Treasure Island Rd,San Francisco,CA,94130,########,,7/1/2018,########,428 11TH ST,San Francisco,94103,CA,7220-7229,Food Services,FALSE,FALSE,D19,STORAGE & USE OF FLAMMABLE OR COMBUSTIBLE LIQUIDS,,,,
1202023-10-181,1093414,Golden State Pizza And Grill Inc,Golden State Pizza And Grill,2414 San Bruno,Sf,CA,94134,########,,########,,2414 SAN BRUNO AVE,San Francisco,94134,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,
1203427-10-181,1094060,Project Pizza Polk Llc,Fiorella Polk,Polk St,San Francisco,CA,94109,########,,########,########,2238 POLK ST,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1204142-10-181,1094060,Project Pizza Polk Llc,Fiorella Polk,2238 Polk St,San Francisco,CA,94109,########,,########,,2238 POLK ST,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Russian Hill,,
1210408-01-191,1097157,Hayes Street Pizza Llc,Gioia Pizzeria,579 Hayes St,San Francisco,CA,94102,1/1/2019,,1/1/2019,,579 HAYES ST,San Francisco,94102,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,
1211893-02-191,1010372,City Pizza And Burger Inc,Cannapizza,464 Broadway St,San Francisco,CA,94133,3/1/2015,,2/4/2019,,464 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1217134-03-191,1100055,Tassili Pizza Inc,Tassili Food,32 6th St,San Francisco,CA,94103,1/1/2019,,1/1/2019,4/4/2019,32 6TH ST,San Francisco,94103,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1217142-03-191,1100062,"Seniore's Pizza S.f, Inc",Seniores Pizza,2415 19th Ave,San Francisco,CA,94116,########,,########,,2415 19TH AVE,San Francisco,94116,CA,7220-7229,Food Services,FALSE,FALSE,,,4,Sunset/Parkside,,
1218008-04-191,1100055,Tassili Pizza Inc,Modena Pizza & Ice Cream,32 6th St,San Francisco,CA,94103,1/1/2019,,4/4/2019,,32 6TH ST,San Francisco,94103,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,
1218520-04-191,1100644,Mideteranian Pizza Llc,Orientalia Pizza,829 Geary St,San Francisco,CA,94109,########,,########,,829 GEARY ST,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1219474-04-191,1010372,City Pizza And Burger Inc,Canna Bistro,464 Broadway St,San Francisco,CA,94133,3/1/2015,,########,,464 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1222717-05-191,1102264,Maceno Pizza Llc,Monza Pizzeria,1934 Ocean Avenue,San Francisco,CA,94127,########,,########,,1934 OCEAN AVE,San Francisco,94127,CA,,,FALSE,FALSE,,,,,,
1226685-07-191,1086800,A Pizza Llc,Apizza - Fillmore,2043 Fillmore St,San Francisco,CA,94115,########,,7/1/2019,,2325 PINE ST,San Francisco,94115,CA,4400-4599,Retail Trade,FALSE,FALSE,,,,,,
1227855-07-191,1104203,Nahua Pizza Llc,Nahua Pizza,103 Horne Ave,San Francisco,CA,94124,7/1/2019,,7/1/2019,,2701 HIGH ST 305 APT,Oakland,94619,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1230363-08-191,483799,Firetrail Pizza Llc,Firetrail Pizza #2,1 Mobile Caterers,San Francisco,CA,,########,,########,,428 11TH ST,San Francisco,94103,CA,7220-7229,Food Services,FALSE,FALSE,D19,STORAGE & USE OF FLAMMABLE OR COMBUSTIBLE LIQUIDS,,,,
1232298-08-191,1106009,Pizzalicious Llc,Pizzalicious Llc,1210 Polk St,San Bruno,CA,94109,########,,########,,1210 POLK ST E #,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,
1233424-09-191,1106459,"Orients Pizza And Pasta, Llc",Mr. Pizza Man,2680 22nd St,San Francisco,CA,94110,########,,########,,2680 22ND ST,San Francisco,94110,CA,,,FALSE,FALSE,,,9,Mission,,
1234359-09-191,1106853,Candlestick Pizza Llc,Candlestick Pizza,1 Warriors Way,San Francisco,CA,94158,########,,########,,405 PRIMROSE RD 200 STE,Burlingame,94010,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1235301-10-191,1106853,Candlestick Pizza Llc,Candlestick Pizza,7 Warriors Way Ste 208,San Francisco,CA,94158,########,,########,,405 PRIMROSE RD 200 STE,Burlingame,94010,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
1235625-10-191,1107362,Sendit Pizza Llc,Papa Johns,69 Cambon Dr,San Francisco,CA,94132,########,,########,,69 CAMBON DR,San Francisco,94132,CA,7220-7229,Food Services,FALSE,FALSE,,,7,Lakeshore,,
1236453-10-191,1100644,Mideteranian Pizza Llc,Palermo Pizza & Sandwiches,829 Geary St,San Francisco,CA,94109,########,,########,,829 GEARY ST,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,,,,,,
